frame	cv1	cv2	energy
86300	2.469170	0.898970	0.000000
86000	2.430140	0.814650	0.011081
85800	2.510780	0.908220	0.020214
86100	2.341650	0.895930	0.103288
86200	2.435240	0.794760	0.119234
85600	2.552030	0.937820	0.179887
96600	1.327650	0.707980	0.456831
95600	1.312900	0.692120	0.464676
96000	1.296650	0.771450	0.553587
65700	2.508980	0.199090	0.601103
66800	2.412400	0.314940	0.659326
66500	2.393190	0.236260	0.733082
59100	2.213180	0.358500	0.750298
85900	2.457940	1.042030	0.790426
97900	1.658200	0.571760	0.799260
90800	1.190790	0.788630	0.802613
96300	1.272210	0.649560	0.806791
58600	2.228910	0.324030	0.808079
86500	2.263490	0.888380	0.811526
59000	2.101870	0.469590	0.835475
58300	2.130860	0.458670	0.852207
89400	1.509740	0.569720	0.860225
97800	1.728570	0.571750	0.869528
66700	2.546940	0.050140	0.869722
91000	1.292200	0.602560	0.889346
84300	2.496420	0.816830	0.900081
90300	1.148240	0.738380	0.923592
85500	2.656570	0.831290	0.945192
89800	1.306420	0.587600	0.952325
98300	1.726040	0.604160	0.965055
27700	-1.495380	-1.953520	0.971768
89500	1.415270	0.591360	0.992866
88700	1.411510	0.608890	1.018078
85700	2.599900	0.991230	1.026304
85300	2.225050	0.959530	1.033318
66600	2.624930	0.002940	1.061621
88600	1.578160	0.461460	1.062348
83800	2.513710	0.939300	1.063720
80300	2.152100	1.396400	1.096745
28100	-1.471650	-2.034140	1.105731
80200	2.145020	1.388660	1.107482
58500	2.079770	0.324800	1.123338
57900	1.999530	0.398630	1.130116
90700	1.176390	0.858690	1.132818
84400	2.388420	0.947620	1.139196
66200	2.312290	0.455530	1.163932
79800	2.328890	1.126960	1.178834
61600	1.868870	0.367100	1.197257
97200	1.784730	0.399470	1.229986
93700	1.459560	0.613900	1.232607
61400	1.830420	0.408920	1.242404
97600	1.515440	0.724340	1.254862
93900	1.432690	0.465600	1.256414
93800	1.312520	0.687560	1.288511
77700	2.266910	1.183470	1.289831
89100	1.606610	0.548470	1.296378
96200	1.199440	0.883960	1.303766
83900	2.607810	0.602590	1.316626
91700	1.801450	0.476090	1.321152
77300	2.406220	0.882210	1.322461
84800	2.590920	0.830910	1.324595
58800	2.251340	0.405450	1.328640
91300	1.544270	0.757770	1.333660
27900	-1.525810	-1.813870	1.335332
85200	2.565960	0.668500	1.338315
78800	2.260920	1.242210	1.352296
61700	1.828300	0.342320	1.361994
92300	1.474460	0.818930	1.374816
80400	2.356020	1.197840	1.382129
76400	2.452410	0.875370	1.383283
66400	2.259630	0.489350	1.386307
77600	2.267280	1.144130	1.392104
90100	1.631610	0.421340	1.394116
84600	2.413210	1.102070	1.417300
91900	1.543000	0.848750	1.433144
93400	1.285030	0.721230	1.445918
92100	1.836120	0.387530	1.456067
27500	-1.630570	-1.872620	1.460429
29500	-1.472740	-1.774130	1.468068
90400	1.111620	0.925020	1.490441
95000	1.246080	0.990280	1.500491
91500	1.853860	0.454850	1.513210
35600	-0.710520	-2.142090	1.516592
96400	1.446820	0.536970	1.517290
97700	1.813040	0.342800	1.523743
66900	2.569780	-0.022290	1.534237
29900	-1.424110	-1.853260	1.538190
94900	1.218920	1.022380	1.544448
77100	2.479900	0.984070	1.566930
29300	-1.500060	-1.824040	1.567605
35800	-0.754430	-2.224280	1.578140
93500	1.422980	0.416190	1.586153
28200	-1.366790	-2.012540	1.589490
66300	2.660170	0.089520	1.591959
76100	2.144020	0.907310	1.594849
79900	2.348150	1.011070	1.600886
95400	1.177090	0.951500	1.618790
85000	2.742940	0.448780	1.622850
61300	1.985410	0.367560	1.624321
28600	-1.564510	-2.045290	1.629794
93300	1.309360	0.533010	1.642166
27800	-1.366990	-2.000880	1.645666
80500	2.254840	1.114010	1.651434
36000	-0.644620	-2.135980	1.666073
7700	-4.177130	2.450800	1.669113
77400	2.446710	0.795210	1.672548
77900	2.323780	1.065040	1.675546
28800	-1.526430	-1.621920	1.715216
90200	1.715830	0.342110	1.736344
73200	2.306820	0.503900	1.749379
98200	1.454950	0.887720	1.751074
89300	1.500860	0.677400	1.756680
73500	2.438240	0.365040	1.772454
98100	1.450010	0.889790	1.774071
89700	1.566860	0.385490	1.777356
91800	1.414060	1.062670	1.789200
38000	-1.026620	-2.166240	1.796101
36100	-0.754410	-2.340510	1.817267
37300	-1.183050	-2.116110	1.820487
83700	2.147200	1.384260	1.836267
80100	1.980040	1.605280	1.838591
61500	1.763290	0.522020	1.839999
95800	1.048120	0.729650	1.848415
36800	-1.197030	-1.994330	1.848436
31300	-1.849530	-1.456460	1.851732
92400	1.765260	0.392910	1.853148
90500	1.102410	0.645670	1.853323
77200	2.516530	1.031440	1.861743
74800	2.620050	0.823650	1.863641
30600	-1.885640	-1.371430	1.876051
96900	1.504160	0.621140	1.877340
30800	-1.827760	-1.492530	1.879819
34200	-1.130560	-2.064610	1.903338
94800	1.521770	0.624730	1.906852
83600	2.101420	1.284600	1.909467
24500	-1.046610	-2.178930	1.914056
28000	-1.492560	-2.196800	1.914637
76900	2.597990	0.951790	1.918950
79600	2.451180	1.102620	1.919928
73300	2.422400	0.605200	1.921902
75100	2.695060	0.750300	1.930101
96800	1.140480	0.593700	1.938223
74400	2.520140	0.449240	1.953445
75300	2.604970	0.733140	1.955841
69400	2.416390	0.568360	1.960033
7800	-4.102370	2.499640	1.966015
84500	2.794820	0.391130	1.967545
25300	-1.010420	-2.206070	1.970141
34100	-1.168470	-1.961320	1.971596
94600	1.420050	0.868900	1.978065
24200	-1.343410	-2.071220	1.984830
93600	1.744770	0.353990	1.996886
37800	-0.844910	-2.317180	1.997216
98000	1.675350	0.779450	2.001998
92800	1.639040	0.552920	2.007676
78700	2.430150	1.250310	2.009519
76700	2.161550	1.029240	2.019949
62700	2.329550	-0.022050	2.022104
58000	1.854680	0.472270	2.027614
31100	-1.770200	-1.494000	2.029467
84900	2.169400	1.398640	2.030523
7900	-4.049990	2.379480	2.031861
27400	-1.650660	-1.650710	2.034782
61900	2.169700	0.132570	2.036641
6800	-4.269230	2.434200	2.039838
34600	-1.167530	-2.062510	2.047831
76200	2.042390	1.007880	2.053533
7200	-4.099130	2.275060	2.056640
84200	2.374960	0.848570	2.057169
69600	2.411090	0.530070	2.062444
12400	-4.263770	2.655870	2.066134
12100	-4.099050	2.659220	2.070107
89900	1.446480	0.754850	2.075693
62900	2.321360	-0.065320	2.076814
95500	1.094690	1.019150	2.082561
41300	-0.349070	-1.926310	2.083482
41100	-0.312830	-1.930330	2.085011
63600	2.355860	-0.093150	2.085906
95700	1.017870	0.721620	2.089344
42900	-0.549360	-2.329000	2.091446
24600	-1.376400	-2.044590	2.092230
42000	-0.595190	-2.308680	2.097089
