Inhibitor,Correlation_with_F2RL1_CESC,Correlation_with_F2RL1_CHOL,Correlation_with_F2RL1_GBM,Correlation_with_F2RL1_HNSC,Correlation_with_F2RL1_LUAD,Correlation_with_F2RL1_LUSC,Correlation_with_F2RL1_STAD,Correlation_with_F2RL1_UCEC,P_value_CESC,P_value_CHOL,P_value_GBM,P_value_HNSC,P_value_LUAD,P_value_LUSC,P_value_STAD,P_value_UCEC,Significance_CESC,Significance_CHOL,Significance_GBM,Significance_HNSC,Significance_LUAD,Significance_LUSC,Significance_STAD,Significance_UCEC
ADORA2A,-0.0114,-0.2152,-0.2084,-0.4887,-0.1121,-0.0502,-0.2148,-0.0245,0.851,0.2912,0.009488,2.79E-29,0.02357,0.3047,9.03E-05,0.5818,NS,NS,**,***,*,NS,***,NS
BTLA,-0.3207,-0.2734,0.1697,-0.3606,-0.008,-0.1726,-0.1325,-0.0086,5.08E-08,0.1766,0.03532,9.94E-16,0.8721,0.0003803,0.01647,0.8465,***,NS,*,***,NS,***,*,NS
CD160,-0.0756,-0.0957,-0.0442,-0.2591,-0.0394,-0.2053,-0.1458,0.1398,0.2105,0.6418,0.5858,1.44E-08,0.4273,2.23E-05,0.008274,0.001602,NS,NS,NS,***,NS,***,**,**
CD244,-0.2156,-0.1931,0.046,-0.2379,-0.019,-0.191,-0.0144,-0.0219,0.0003077,0.3446,0.5712,2.10E-07,0.7015,8.22E-05,0.7951,0.6226,***,NS,NS,***,NS,***,NS,NS
CD274,-0.1749,-0.2247,0.2375,0.0615,0.0456,0.1235,0.086,0.1642,0.003557,0.2698,0.003021,0.1854,0.3581,0.01128,0.1207,0.0002037,**,NS,**,NS,NS,*,NS,***
CD96,-0.2836,-0.1519,0.1805,-0.3041,0.0064,-0.2472,-0.0565,-0.0233,1.68E-06,0.4589,0.02512,2.10E-11,0.8968,2.88E-07,0.3088,0.6004,***,NS,*,***,NS,***,NS,NS
CSF1R,-0.2137,-0.1099,0.1606,-0.0342,0.1,-0.1027,-0.0847,0.063,0.0003486,0.593,0.04663,0.462,0.04353,0.03533,0.1263,0.157,***,NS,*,NS,*,*,NS,NS
CTLA4,-0.3056,-0.2268,0.1609,-0.235,-0.1303,-0.212,-0.143,-0.0362,2.24E-07,0.2652,0.04618,2.95E-07,0.008396,1.18E-05,0.009596,0.4162,***,NS,*,***,**,***,**,NS
HAVCR2,-0.2575,-0.0694,0.1473,-0.1115,0.1109,-0.1072,0.0225,0.0452,1.48E-05,0.7361,0.06836,0.01611,0.02508,0.02799,0.6846,0.3098,***,NS,NS,*,*,*,NS,NS
IDO1,-0.2017,-0.2202,0.0772,-0.1838,0.0317,-0.3174,0.057,0.217,0.0007528,0.2796,0.3413,6.73E-05,0.5228,2.76E-11,0.3037,8.14E-07,***,NS,NS,***,NS,***,NS,***
IL10,0.0094,-0.3562,0.0199,0.0669,0.0359,-0.0617,-0.1792,0.0682,0.8761,0.07412,0.8061,0.1496,0.4691,0.2068,0.001139,0.125,NS,NS,NS,NS,NS,NS,**,NS
