"Stimulator","Correlation_with_F2RL1_CESC","Correlation_with_F2RL1_CHOL","Correlation_with_F2RL1_GBM","Correlation_with_F2RL1_HNSC","Correlation_with_F2RL1_LUAD","Correlation_with_F2RL1_LUSC","Correlation_with_F2RL1_STAD","Correlation_with_F2RL1_UCEC","P_value_CESC","P_value_CHOL","P_value_GBM","P_value_HNSC","P_value_LUAD","P_value_LUSC","P_value_STAD","P_value_UCEC","Significance_CESC","Significance_CHOL","Significance_GBM","Significance_HNSC","Significance_LUAD","Significance_LUSC","Significance_STAD","Significance_UCEC"
"CD27",-0.2792,-0.2811,0.1348,-0.3455,-0.1107,-0.2689,-0.1424,-0.0151,2.452e-06,0.1642,0.09559,1.755e-14,0.02537,2.178e-08,0.009912,0.7347,"***","NS","NS","***","*","***","**","NS"
"CD276",0.1667,0.4963,0.1803,0.3753,0.2474,0.2317,0.0839,0.3972,0.00551,0.009909,0.02526,5.31e-17,4.196e-07,1.581e-06,0.13,1.314e-20,"**","**","*","***","***","***","NS","***"
"CD28",-0.2234,-0.2788,-0.0488,-0.2483,0.1034,-0.1486,-0.1063,0.0116,0.000183,0.1679,0.5476,5.823e-08,0.03682,0.00227,0.05483,0.7941,"***","NS","NS","***","*","**","NS","NS"
"CD40",-0.1649,0.0127,0.2174,-0.1804,0.1943,-0.1991,-0.1617,0.0235,0.00603,0.9507,0.006764,9.167e-05,7.793e-05,3.979e-05,0.003372,0.5969,"**","NS","**","***","***","***","**","NS"
"CD40LG",-0.2368,-0.2461,0.0738,-0.3814,0.0908,-0.2466,-0.2209,-0.0857,7.092e-05,0.2256,0.3628,1.505e-17,0.06705,3.088e-07,5.618e-05,0.05373,"***","NS","NS","***","NS","***","***","NS"
"CD48",-0.2663,-0.1674,0.1631,-0.3079,0.0339,-0.2016,-0.1549,-0.0268,7.254e-06,0.4138,0.0433,1.134e-11,0.4944,3.16e-05,0.004983,0.5476,"***","NS","*","***","NS","***","**","NS"
"CD70",-0.0633,-0.3049,0.1226,-0.0419,0.0691,-0.1763,-0.0085,0.0249,0.2949,0.1298,0.1299,0.3672,0.1633,0.0002835,0.8785,0.5755,"NS","NS","NS","NS","NS","***","NS","NS"
"CD80",-0.1516,-0.2825,0.1926,0.0149,0.115,-0.0921,0.0318,0.0751,0.01169,0.1621,0.01673,0.7489,0.02011,0.05936,0.5662,0.09131,"*","NS","*","NS","*","NS","NS","NS"
"CD86",-0.24,-0.1109,0.1836,0.0273,0.0892,-0.1573,-0.0425,9e-04,5.643e-05,0.5896,0.02266,0.5567,0.07175,0.001218,0.4442,0.9847,"***","NS","*","NS","NS","**","NS","NS"
"CXCL12",-0.0992,0.1553,0.0058,-0.0249,0.0152,-0.0054,-0.3268,-0.0166,0.1002,0.4487,0.9436,0.5917,0.7592,0.9127,1.419e-09,0.7099,"NS","NS","NS","NS","NS","NS","***","NS"
"CXCR4",-0.2309,-0.1482,0.0955,-0.3738,-0.0469,-0.2697,-0.1867,0.2061,0.0001082,0.47,0.2387,7.187e-17,0.3442,1.956e-08,0.0006903,2.862e-06,"***","NS","NS","***","NS","***","***","***"
"ENTPD1",-0.231,-0.0312,0.2228,-0.1237,0.1427,-0.1491,-0.2073,0.0685,0.0001076,0.8796,0.005484,0.007566,0.00388,0.00219,0.0001598,0.1232,"***","NS","**","**","**","**","***","NS"
"HHLA2",0.2182,0.3539,0.2195,0.0397,0.2705,0.0738,0.5566,0.1571,0.0002603,0.07614,0.006228,0.3931,2.832e-08,0.1312,5.444e-28,0.0003849,"***","NS","**","NS","***","NS","***","***"
"ICOS",-0.221,-0.3101,0.1675,-0.1346,-0.0074,-0.1592,0.0264,0.0091,0.0002149,0.1231,0.03782,0.003626,0.8818,0.001063,0.6342,0.8385,"***","NS","*","**","NS","**","NS","NS"
"ICOSLG",0.0122,0.1033,0.09,-0.3935,0.0269,-0.1194,0.1322,0.1488,0.8402,0.6157,0.267,1.144e-18,0.5881,0.01438,0.01675,0.0007737,"NS","NS","NS","***","NS","*","*","***"
"IL2RA",-0.2119,-0.2742,0.04,-0.0905,0.0203,-0.1498,0.0012,0.0734,0.0003922,0.1752,0.6222,0.05118,0.6832,0.002076,0.9829,0.09854,"***","NS","NS","NS","NS","**","NS","NS"
"IL6",0.0447,0.1192,0.1232,0.2489,-0.1463,0.137,-0.1383,0.207,0.4595,0.5618,0.1281,5.349e-08,0.003057,0.004907,0.01227,2.594e-06,"NS","NS","NS","***","**","**","*","***"
