cancer,infiltrates,,rho,p,adj.p
CESC,T cell CD4+,(non-regulatory)_QUANTISEQ,0.191319046,0.001377192,0.007111727
CESC,T cell CD4+,(non-regulatory)_XCELL,-0.033390337,0.580011938,0.725014923
CESC,T cell CD4+,central memory_XCELL,0.024363423,0.686422693,0.811343896
CESC,T cell CD4+,effector memory_XCELL,-0.081943615,0.173850674,0.337002844
CESC,T cell CD4+,memory activated_CIBERSORT,-0.08746539,0.146525145,0.301273071
CESC,T cell CD4+,memory activated_CIBERSORT-ABS,-0.094835075,0.115306322,0.250493044
CESC,T cell CD4+,memory resting_CIBERSORT,0.139341882,0.020343419,0.065724891
CESC,T cell CD4+,memory resting_CIBERSORT-ABS,0.112321147,0.061921887,0.157938415
CESC,T cell CD4+,memory_XCELL,0.111457997,0.063965809,0.161841204
CESC,T cell CD4+,naive_CIBERSORT,0.062283209,0.301643766,0.49617643
CESC,T cell CD4+,naive_CIBERSORT-ABS,0.062283209,0.301643766,0.49617643
CESC,T cell CD4+,naive_XCELL,-0.158413613,0.00825875,0.03272335
CESC,T cell CD4+,Th1_XCELL,-0.220121502,0.000222169,0.001457987
CESC,T cell CD4+,Th2_XCELL,0.011602622,0.847554725,0.920299423
CESC,T cell CD4+,EPIC,0.156722526,0.008981634,0.034293512
CESC,T cell CD4+,TIMER,0.000452626,0.994016617,0.99559693
CESC,B cell memory,CIBERSORT,-0.184617514,0.002033352,0.01016676
CESC,B cell memory,CIBERSORT-ABS,-0.175403321,0.003402386,0.015391746
CESC,B cell memory,XCELL,-0.22780146,0.000130967,0.00103682
CESC,B cell naive,CIBERSORT,0.124911093,0.037739031,0.103859705
CESC,B cell naive,CIBERSORT-ABS,0.100345741,0.095565486,0.207513628
CESC,B cell naive,XCELL,-0.053294009,0.376908826,0.550115757
CESC,B cell plasma,CIBERSORT,0.111344462,0.064238737,0.155482292
CESC,B cell plasma,CIBERSORT-ABS,0.086719199,0.150014127,0.286459138
CESC,B cell plasma,XCELL,-0.192298171,0.001299571,0.007105568
CESC,B cell,EPIC,-0.083203338,0.167305706,0.306660334
CESC,B cell,MCPCOUNTER,-0.079245479,0.188505731,0.337092602
CESC,B cell,QUANTISEQ,-0.119322254,0.047252332,0.121829051
CESC,B cell,TIMER,-0.194127611,0.001165205,0.00664906
CESC,B cell,XCELL,-0.22221626,0.000192689,0.001464435
CESC,Class-switched memory B cell,XCELL,-0.129463489,0.031237715,0.088916342
CESC,T cell regulatory (Tregs),CIBERSORT,-0.15087637,0.01193243,0.041790998
CESC,T cell regulatory (Tregs),CIBERSORT-ABS,-0.146776817,0.014482687,0.049377995
CESC,T cell regulatory (Tregs),QUANTISEQ,-0.065154346,0.279861993,0.443114822
CESC,T cell regulatory (Tregs),XCELL,-0.087213202,0.147697334,0.282745526
CESC,Macrophage/Monocyte,MCPCOUNTER,-0.07501829,0.213256111,0.364599157
CESC,Monocyte,CIBERSORT,-0.088616243,0.141265589,0.262439108
CESC,Monocyte,CIBERSORT-ABS,-0.108929644,0.070273718,0.157373536
CESC,Monocyte,MCPCOUNTER,-0.07501829,0.213256111,0.364599157
CESC,Monocyte,QUANTISEQ,-0.195122209,0.001097633,0.004939348
CESC,Monocyte,XCELL,-0.031389284,0.602932821,0.736840918
CESC,Neutrophil,CIBERSORT,0.217464096,0.000265636,0.001557388
CESC,Neutrophil,CIBERSORT-ABS,0.210076747,0.000431673,0.002214063
CESC,Neutrophil,MCPCOUNTER,0.247261056,3.16E-05,0.000228568
CESC,Neutrophil,QUANTISEQ,0.144894226,0.015805999,0.048329881
CESC,Neutrophil,TIMER,0.044514368,0.460585941,0.623993155
CESC,Neutrophil,XCELL,0.099485897,0.098455163,0.210596919
CESC,Macrophage M0,CIBERSORT,0.04340297,0.471868681,0.64936057
CESC,Macrophage M0,CIBERSORT-ABS,0.022143586,0.713677833,0.847934059
CESC,Macrophage M1,CIBERSORT,-0.140509344,0.019305187,0.067259569
CESC,Macrophage M1,CIBERSORT-ABS,-0.139386227,0.020303114,0.068591137
CESC,Macrophage M1,QUANTISEQ,0.068684099,0.254574763,0.43111034
CESC,Macrophage M1,XCELL,-0.184627375,0.002032206,0.010790474
CESC,Macrophage M2,CIBERSORT,-0.081739022,0.174931364,0.334263754
CESC,Macrophage M2,CIBERSORT-ABS,-0.063221878,0.294402393,0.480003902
CESC,Macrophage M2,QUANTISEQ,-0.196650901,0.001000772,0.006086719
CESC,Macrophage M2,TIDE,-0.022284347,0.711938287,0.84754558
CESC,Macrophage M2,XCELL,-0.166047875,0.005599643,0.025073026
CESC,Macrophage,EPIC,-0.191255984,0.001382334,0.007751404
CESC,Macrophage,TIMER,-0.001829496,0.975818852,0.986937862
CESC,Macrophage,XCELL,-0.173151736,0.00384442,0.018453217
CESC,Macrophage/Monocyte,MCPCOUNTER,-0.07501829,0.213256111,0.38309481
CESC,Myeloid dendritic cell activated,CIBERSORT,0.120315213,0.045428786,0.141816818
CESC,Myeloid dendritic cell activated,CIBERSORT-ABS,0.10826631,0.072010156,0.195106762
CESC,Myeloid dendritic cell activated,XCELL,-0.318892422,5.77E-08,1.59E-06
CESC,Myeloid dendritic cell resting,CIBERSORT,-0.039701419,0.510515764,0.692911755
CESC,Myeloid dendritic cell resting,CIBERSORT-ABS,-0.058978718,0.32806726,0.55554786
CESC,Myeloid dendritic cell,MCPCOUNTER,-0.13960119,0.020108721,0.082503208
CESC,Myeloid dendritic cell,QUANTISEQ,0.023487315,0.697133508,0.838101896
CESC,Myeloid dendritic cell,TIMER,-0.124524193,0.038340866,0.126514026
CESC,Myeloid dendritic cell,XCELL,-0.121996868,0.042475089,0.134942982
CESC,NK cell activated,CIBERSORT,-0.066608791,0.269243868,0.474155137
CESC,NK cell activated,CIBERSORT-ABS,-0.070098502,0.244899776,0.445159592
CESC,NK cell resting,CIBERSORT,0.050616272,0.401384452,0.607384415
CESC,NK cell resting,CIBERSORT-ABS,0.052563208,0.383496074,0.593087084
CESC,NK cell,EPIC,-0.177790005,0.002984534,0.017421911
CESC,NK cell,MCPCOUNTER,-0.074460033,0.216691507,0.416001343
CESC,NK cell,QUANTISEQ,-0.025904828,0.667730626,0.826998084
CESC,NK cell,XCELL,0.002710903,0.96417548,0.981863226
